                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97328,                 2.6302,                 1.5088,                0.00265,                      1,                0.50245,                0.28199,                0.53014,                 3.2233,                 1.3132,                0.00012,                0.00012,                0.00012
                      2,                0.59911,                 1.9777,                 1.2597,                0.00265,                      1,                0.50066,                 0.3195,                0.69343,                 3.1931,                 1.4686,             0.00025657,             0.00025657,             0.00025657
                      3,                0.63975,                 1.5635,                 1.3374,                0.00265,                      1,                0.38057,                0.25192,                0.77582,                 3.2065,                 1.5553,             0.00038944,             0.00038944,             0.00038944
                      4,                0.51423,                 1.3627,                 1.1693,                 0.3595,                 0.7187,                0.41499,                0.31435,                0.65841,                 3.0157,                 1.3952,             0.00051862,             0.00051862,             0.00051862
                      5,                0.51683,                 1.2519,                 1.1907,                0.46593,                0.60976,                0.45926,                0.29923,                0.82474,                 2.8076,                 1.6722,              0.0006441,              0.0006441,              0.0006441
                      6,                0.55295,                  1.269,                 1.2021,                 0.5363,                0.62061,                0.61268,                0.46225,                0.81754,                 2.8037,                  1.593,             0.00076588,             0.00076588,             0.00076588
                      7,                0.61321,                 1.2887,                 1.2336,                0.45822,                    0.5,                0.52473,                0.36949,                 1.1771,                 2.9936,                 1.9968,             0.00088397,             0.00088397,             0.00088397
                      8,                0.60728,                 1.2828,                 1.2405,                0.67522,                0.78049,                0.76155,                0.60876,                0.84656,                 2.2248,                 2.0056,             0.00099836,             0.00099836,             0.00099836
                      9,                0.62525,                    1.2,                 1.2791,                 0.7597,                0.84146,                0.81952,                0.66563,                0.74136,                 2.1758,                 1.8217,              0.0011091,              0.0011091,              0.0011091
                     10,                0.59385,                 1.1804,                 1.2133,                0.49099,                0.76466,                0.66287,                0.35906,                 1.1111,                 5.3977,                  2.583,              0.0012161,              0.0012161,              0.0012161
                     11,                0.61509,                 1.1717,                 1.2232,                0.54959,                0.73171,                0.69921,                 0.5204,                0.95607,                 4.0879,                 2.5862,              0.0013194,              0.0013194,              0.0013194
                     12,                0.59594,                 1.0209,                 1.2179,                0.65221,                0.56098,                0.62152,                0.44385,                0.81436,                 2.3696,                 1.7935,               0.001419,               0.001419,               0.001419
                     13,                0.62783,                 1.1488,                 1.2393,                0.51023,                0.64795,                0.56793,                0.39307,                0.85343,                 2.5162,                 1.8234,              0.0015149,              0.0015149,              0.0015149
                     14,                0.72349,                 1.1127,                 1.3245,                0.59951,                    0.5,                0.52498,                0.29787,                 0.9594,                 3.0549,                 1.8347,              0.0016071,              0.0016071,              0.0016071
                     15,                0.64903,                 1.0951,                 1.2238,                0.45742,                0.71967,                0.60696,                0.50954,                0.83143,                 2.3516,                 1.7485,              0.0016304,              0.0016304,              0.0016304
                     16,                0.57574,                0.98874,                 1.2014,                0.66737,                0.67073,                0.73107,                0.63767,                0.83181,                 2.0223,                 1.7604,               0.001604,               0.001604,               0.001604
                     17,                0.59547,                0.95293,                 1.2052,                0.75539,                0.62195,                0.68283,                 0.5772,                0.83399,                 1.9204,                 1.7258,              0.0015776,              0.0015776,              0.0015776
                     18,                0.60222,                  1.013,                 1.2192,                0.74909,                0.43693,                0.59054,                0.45203,                0.98121,                 1.9405,                 1.9232,              0.0015512,              0.0015512,              0.0015512
                     19,                0.61362,                 1.0079,                  1.223,                0.55549,                0.46341,                0.48859,                0.26207,                 1.2426,                 2.1473,                 2.0636,              0.0015248,              0.0015248,              0.0015248
