                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0242,                 3.3833,                 4.2235,                0.00299,                      1,                0.01561,                0.00599,                 2.5397,                 3.5712,                 4.1588,                  4e-05,                  4e-05,                  4e-05
                      2,                 2.9716,                  3.258,                 4.2095,                0.00298,                      1,                0.02758,                0.00921,                 2.5406,                 3.5735,                 4.1584,              9.868e-05,              9.868e-05,              9.868e-05
                      3,                 3.0204,                 3.2159,                 4.1884,                0.00301,                      1,                0.08725,                0.02623,                 2.5424,                 3.5749,                 4.1574,             0.00015578,             0.00015578,             0.00015578
                      4,                 3.0516,                  3.224,                  4.188,                  0.003,                      1,                0.42575,                0.13016,                 2.5431,                 3.5762,                  4.155,             0.00021129,             0.00021129,             0.00021129
                      5,                 2.9565,                 3.1402,                 4.1428,                0.00301,                      1,                0.49531,                0.13562,                 2.5427,                 3.5779,                 4.1506,             0.00026522,             0.00026522,             0.00026522
                      6,                 3.1639,                  3.118,                 4.1292,                0.00301,                      1,                0.21721,                0.04554,                   2.54,                 3.5797,                 4.1456,             0.00031756,             0.00031756,             0.00031756
                      7,                  3.112,                 3.1516,                 4.1319,                0.00299,                      1,                0.38756,                 0.1237,                 2.5338,                 3.5824,                  4.136,             0.00036832,             0.00036832,             0.00036832
                      8,                 2.9394,                 3.1138,                 4.0988,                  0.003,                      1,                0.37975,                0.11383,                  2.531,                 3.5835,                 4.1296,              0.0004175,              0.0004175,              0.0004175
                      9,                 3.0103,                 3.0675,                 4.1003,                0.00299,                      1,                0.51055,                0.16113,                 2.5266,                 3.5839,                 4.1122,             0.00046509,             0.00046509,             0.00046509
                     10,                 2.9032,                 3.0749,                  4.094,                0.00299,                      1,                0.38264,                0.12877,                 2.5261,                 3.5836,                 4.1028,              0.0005111,              0.0005111,              0.0005111
                     11,                 2.9513,                 3.1671,                 4.0356,                0.00297,                      1,                0.52689,                0.15935,                  2.524,                 3.5836,                 4.0782,             0.00055552,             0.00055552,             0.00055552
                     12,                 2.8876,                 3.0003,                 4.0154,                0.00298,                      1,                0.55588,                 0.1702,                 2.5215,                 3.5814,                 4.0622,             0.00059836,             0.00059836,             0.00059836
                     13,                 2.8921,                 3.1169,                 3.9514,                0.00298,                      1,                0.35853,                0.10706,                 2.5184,                 3.5685,                 4.0497,             0.00063962,             0.00063962,             0.00063962
                     14,                 3.0651,                 3.0503,                 3.9756,                0.00297,                      1,                0.52295,                0.14676,                  2.511,                 3.5485,                 4.0168,             0.00067929,             0.00067929,             0.00067929
                     15,                 2.8683,                 3.0734,                 3.9052,                0.00296,                      1,                0.28647,                0.08767,                  2.483,                 3.5067,                 3.8984,             0.00071738,             0.00071738,             0.00071738
